"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 21:53:04 GMT 2023","Tue Nov 14 21:53:40 GMT 2023","35611","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:04 GMT 2023","Tue Nov 14 21:53:40 GMT 2023","36519","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:05 GMT 2023","Tue Nov 14 21:53:42 GMT 2023","36606","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:04 GMT 2023","Tue Nov 14 21:53:43 GMT 2023","39000","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:04 GMT 2023","Tue Nov 14 21:53:38 GMT 2023","33405","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:04 GMT 2023","Tue Nov 14 21:53:17 GMT 2023","13042","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:53:05 GMT 2023","Tue Nov 14 21:53:41 GMT 2023","36487","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
