"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 13:58:00 GMT 2023","Tue Nov 14 13:58:00 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
