"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 22:31:29 GMT 2023","Tue Nov 14 22:31:41 GMT 2023","11741","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:31 GMT 2023","Tue Nov 14 22:32:20 GMT 2023","49029","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:29 GMT 2023","Tue Nov 14 22:32:23 GMT 2023","54143","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:30 GMT 2023","Tue Nov 14 22:32:23 GMT 2023","52392","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:28 GMT 2023","Tue Nov 14 22:32:21 GMT 2023","52892","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:27 GMT 2023","Tue Nov 14 22:32:21 GMT 2023","54347","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:31:28 GMT 2023","Tue Nov 14 22:32:21 GMT 2023","53015","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
