"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","6","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","1","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","1","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 14:06:10 GMT 2023","Tue Nov 14 14:06:10 GMT 2023","0","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
