"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 22:34:27 GMT 2023","Tue Nov 14 22:34:31 GMT 2023","4295","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:34:36 GMT 2023","Tue Nov 14 22:35:23 GMT 2023","47018","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:35:33 GMT 2023","Tue Nov 14 22:35:36 GMT 2023","3345","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:34:27 GMT 2023","Tue Nov 14 22:34:32 GMT 2023","4572","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:35:27 GMT 2023","Tue Nov 14 22:35:30 GMT 2023","2823","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:35:34 GMT 2023","Tue Nov 14 22:35:36 GMT 2023","1409","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 22:35:40 GMT 2023","Tue Nov 14 22:35:41 GMT 2023","1906","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
