"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 14 20:59:23 GMT 2023","Tue Nov 14 20:59:40 GMT 2023","16865","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 20:59:21 GMT 2023","Tue Nov 14 20:59:43 GMT 2023","21560","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 20:59:24 GMT 2023","Tue Nov 14 20:59:39 GMT 2023","15723","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 20:59:22 GMT 2023","Tue Nov 14 20:59:40 GMT 2023","17756","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 20:59:22 GMT 2023","Tue Nov 14 20:59:37 GMT 2023","14506","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 21:00:15 GMT 2023","Tue Nov 14 21:00:16 GMT 2023","971","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
"broken","Tue Nov 14 20:59:22 GMT 2023","Tue Nov 14 20:59:37 GMT 2023","14315","tests","Testing Vehicles parametrize","TestVehicles","","","Asserting Vehicles prices",""
